TIME,X,Y,Z
0.0,1.957,0.068,10.235
0.003953539,1.803,0.107,9.584
0.007906477,1.842,0.107,9.814
0.011859554,1.88,0.068,9.814
0.015812784,1.918,0.068,9.737
0.019765574,1.918,0.107,9.737
0.02371896,1.918,0.107,9.775
0.027672188,1.957,0.068,9.775
0.031625874,1.995,0.068,9.775
0.035579182,1.995,0.068,9.775
0.03953226,1.995,0.068,9.775
0.04348528,2.033,0.068,9.775
0.04743813,2.033,0.068,9.775
0.051391203,2.033,0.068,9.814
0.055344384,2.033,0.03,9.814
0.059297845,2.033,0.03,9.852
0.06325108,1.957,0.068,9.814
0.06720426,1.995,0.068,9.814
0.071157955,1.957,0.068,9.775
0.07511164,1.957,0.068,9.814
0.07906459,1.88,0.068,9.814
0.08301789,1.918,0.068,9.814
0.086971045,1.918,0.068,9.814
0.09092477,1.842,0.03,9.775
0.09487877,1.842,0.068,9.775
0.09883223,1.842,0.068,9.737
0.10278556,1.842,0.068,9.775
0.10673879,1.842,0.068,9.775
0.110691406,1.842,0.068,9.775
0.11464514,1.88,0.068,9.775
0.11859936,1.88,0.03,9.814
0.12255352,1.842,0.068,9.852
0.12650658,1.88,0.107,9.775
0.13045987,1.88,-0.007,9.775
0.13441311,1.88,0.068,9.737
0.13836667,1.88,0.03,9.775
0.14231944,1.88,0.068,9.775
0.14627229,1.88,0.068,9.814
0.15022577,1.88,0.068,9.852
0.15417862,1.88,0.068,9.852
0.15813178,1.918,0.068,9.814
0.16208442,1.918,0.068,9.814
0.16603757,1.918,0.145,9.814
0.1699905,1.918,0.068,9.775
0.17394397,1.957,0.107,9.775
0.17789742,1.995,0.107,9.852
0.18185027,1.995,0.107,9.814
0.18580312,1.995,0.145,9.852
0.18975635,1.957,0.145,9.814
0.19370927,1.995,0.145,9.775
0.1976625,1.995,0.107,9.775
0.20161559,1.995,0.068,9.775
0.20556866,2.071,0.107,9.775
0.20952167,2.033,0.107,9.775
0.21347459,1.995,0.068,9.737
0.21742758,1.995,0.107,9.775
0.22138074,1.957,0.068,9.775
0.22533421,1.995,0.068,9.775
0.22928797,1.957,0.068,9.814
0.23324129,1.918,0.03,9.852
0.23719461,1.957,0.03,9.852
0.24114798,1.957,0.03,9.852
0.24510145,1.88,0.068,9.852
0.24905491,1.918,0.03,9.814
0.2530086,1.88,0.068,9.775
0.2569617,1.842,0.068,9.775
0.26091486,1.842,0.107,9.737
0.26486838,1.842,0.068,9.737
0.26882246,1.803,0.068,9.66
0.27277607,1.803,0.107,9.66
0.276729,1.803,0.068,9.622
0.2806825,1.765,0.107,9.699
0.2846361,1.765,0.107,9.699
0.2885888,1.765,0.107,9.775
0.29254204,1.727,0.068,9.775
0.2964951,1.765,0.068,9.775
0.3004485,1.765,0.068,9.852
0.30440155,1.765,0.107,9.852
0.30835444,1.765,0.068,9.928
0.3123072,1.842,0.107,9.89
0.31626084,1.842,0.107,9.928
0.32021382,1.918,0.107,9.928
0.32416722,1.957,0.107,9.852
0.32812116,1.957,0.068,9.852
0.33207402,1.995,0.145,9.852
0.3360269,2.033,0.107,9.852
0.3399798,2.033,0.107,9.814
0.34393296,2.033,0.107,9.814
0.34788617,2.071,0.107,9.814
0.3518389,2.033,0.068,9.814
0.3557919,2.033,0.068,9.814
0.35974497,2.033,0.068,9.852
0.36369836,1.995,0.068,9.814
0.367652,1.995,0.03,9.852
0.3716057,1.995,0.068,9.775
0.3755591,1.995,0.03,9.814
0.37951186,1.995,0.068,9.775
0.38346562,1.957,0.03,9.814
0.38741958,1.995,-0.007,9.775
0.3913729,1.918,0.03,9.775
0.39532527,1.918,0.068,9.775
0.39927807,1.957,0.068,9.775
0.40323135,1.918,0.068,9.775
0.40718362,1.957,0.03,9.775
0.4111361,1.918,0.068,9.775
0.4150892,1.918,0.03,9.775
0.41904202,1.918,0.068,9.775
0.42299554,1.918,0.068,9.775
0.42694902,1.918,0.068,9.814
0.43090212,1.918,0.068,9.737
0.43485466,1.88,0.068,9.814
0.43880844,1.88,0.068,9.814
